postcode,EstimatedPopulation2017,CensusPopulation2011,Aged00to04,Aged05to09,Aged10to14,Aged15to19,Aged20to24,Aged25to29,Aged30to34,Aged35to39,Aged40to44,Aged45to49,Aged50to54,Aged55to59,Aged60to64,Aged65to69,Aged70to74,Aged75to79,Aged80to84,Aged85plus,RelativeSEAdDisad_1,RelativeSEAdDisad_2,RelativeSEAdDisad_3,RelativeSEAdDisad_4,RelativeSEAdDisad_5,RelativeSEAdDisad_6,RelativeSEAdDisad_7,RelativeSEAdDisad_8,RelativeSEAdDisad_9,RelativeSEAdDisad_10,RelativeSEAdDisad_WeightedAverage
4313,2327.99,2134.00,0.05,0.09,0.06,0.06,0.04,0.04,0.08,0.02,0.03,0.07,0.09,0.07,0.07,0.05,0.07,0.06,0.02,0.04,"1,057",235,446,590,,,,,,,2.2
4340,5988.89,5143.88,0.05,0.04,0.05,0.06,0.07,0.06,0.03,0.10,0.05,0.08,0.10,0.07,0.09,0.05,0.03,0.04,0.03,0.03,505,913,,"2,610",866,628,467,,,,4.0
4341,15294.53,13023.09,0.07,0.10,0.09,0.06,0.05,0.04,0.06,0.08,0.07,0.04,0.07,0.08,0.05,0.05,0.04,0.02,0.02,0.01,"3,037","4,582","2,708","2,160","2,520",287,,,,,2.8
4342,2395.61,2292.00,0.05,0.10,0.08,0.07,0.07,0.04,0.05,0.07,0.06,0.06,0.08,0.09,0.06,0.05,0.03,0.03,0.01,0.01,230,950,342,615,259,,,,,,2.9
4343,11774.78,10435.72,0.07,0.05,0.06,0.08,0.10,0.10,0.07,0.04,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.04,0.03,0.02,"2,410","1,801","3,065","2,986",501,674,338,,,,3.1
4344,2747.65,2478.83,0.07,0.04,0.04,0.08,0.04,0.04,0.05,0.03,0.08,0.13,0.08,0.05,0.08,0.07,0.07,0.02,0.02,0.02,298,626,215,473,366,232,313,223,,,4.1
4345,302.76,308.95,0.01,0.00,0.01,0.51,0.40,0.07,0.02,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.01,0.00,,,,,,,,,,,
4346,954.32,826.00,0.05,0.04,0.03,0.06,0.06,0.07,0.05,0.12,0.04,0.07,0.09,0.07,0.12,0.05,0.02,0.03,0.03,0.02,,238,,431,116,,170,,,,4.2
4347,1605.11,1105.00,0.04,0.03,0.05,0.06,0.04,0.03,0.06,0.03,0.06,0.14,0.09,0.06,0.10,0.07,0.08,0.04,0.01,0.01,,210,602,,794,,,,,,3.9
4350,112503.71,102470.80,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.03,0.02,0.02,"10,047","21,005","17,687","18,492","7,423","10,192","6,209","6,014","9,982","4,591",4.5
4352,27328.77,24514.87,0.06,0.07,0.07,0.07,0.06,0.05,0.05,0.07,0.09,0.09,0.07,0.07,0.07,0.05,0.03,0.02,0.02,0.01,,179,339,"2,459","1,413","5,932","6,390","5,768","3,599","1,249",6.9
4353,315.22,284.59,0.06,0.03,0.05,0.06,0.02,0.07,0.06,0.02,0.05,0.06,0.05,0.15,0.04,0.09,0.06,0.05,0.07,0.04,,,,,315,,,,,,5.0
4354,1176.29,1065.41,0.05,0.06,0.08,0.04,0.04,0.05,0.08,0.03,0.04,0.05,0.07,0.10,0.04,0.06,0.05,0.07,0.06,0.03,,726,,,313,137,,,,,3.3
4355,2655.69,2536.00,0.04,0.04,0.06,0.04,0.03,0.04,0.06,0.02,0.04,0.04,0.05,0.10,0.05,0.10,0.07,0.08,0.08,0.07,929,703,,675,349,,,,,,2.6
4356,5189.57,4788.00,0.07,0.07,0.09,0.06,0.06,0.06,0.05,0.05,0.05,0.06,0.06,0.05,0.06,0.05,0.06,0.04,0.03,0.04,338,"1,136",395,"1,366",895,,872,187,,,4.1
4357,2597.98,2418.00,0.06,0.06,0.03,0.04,0.08,0.13,0.09,0.04,0.05,0.04,0.05,0.12,0.04,0.04,0.05,0.04,0.03,0.02,648,379,745,10,19,797,,,,,3.3
4358,2199.35,1928.07,0.05,0.07,0.06,0.06,0.07,0.06,0.05,0.06,0.05,0.11,0.07,0.07,0.07,0.06,0.05,0.03,0.02,0.02,,,685,262,,235,641,375,,,5.5
4359,1140.93,1059.50,0.03,0.08,0.05,0.06,0.06,0.08,0.08,0.06,0.05,0.06,0.04,0.05,0.07,0.10,0.09,0.02,0.02,0.02,,,429,8,179,526,,,,,4.7
4360,644.77,562.00,0.04,0.07,0.06,0.04,0.05,0.07,0.05,0.08,0.06,0.04,0.05,0.04,0.08,0.11,0.10,0.03,0.02,0.02,,,553,,92,,,,,,3.3
4361,2776.57,2536.00,0.04,0.07,0.06,0.04,0.03,0.06,0.05,0.07,0.05,0.03,0.05,0.04,0.09,0.11,0.10,0.05,0.03,0.04,683,558,53,,775,568,140,,,,3.7
4362,2490.97,2430.00,0.10,0.10,0.04,0.05,0.04,0.03,0.04,0.03,0.05,0.09,0.05,0.06,0.13,0.04,0.05,0.04,0.02,0.04,402,413,331,538,806,,,,,,3.4
4363,538.04,519.12,0.05,0.06,0.11,0.05,0.05,0.06,0.05,0.04,0.06,0.07,0.07,0.08,0.05,0.05,0.06,0.04,0.02,0.04,,269,,,,,269,,,,4.5
